metal,tempC,inP_cos,inP_H2O,outP_cos,outP_H2O,rate_cos
1,270,0.75,3,0.292,2.505,0.00283
1,270,0.75,6,0.349,5.516,0.00248
1,270,0.75,9,0.288,8.315,0.00286
1,270,0.75,18,0.287,17.688,0.00286
1,270,1.5,3,0.677,2.078,0.00508
1,270,1.5,6,0.608,5.12,0.00551
1,270,1.5,9,0.666,7.632,0.00515
1,270,1.5,18,0.663,17.223,0.00517
1,270,2.3,3,0.947,1.683,0.00805
1,270,2.3,6,0.988,4.709,0.0078
1,270,2.3,9,0.924,7.345,0.00819
1,270,2.3,18,0.92,16.849,0.00822
1,270,2.6,3,1.174,1.426,0.00896
1,270,2.6,6,1.088,4.456,0.00949
1,270,2.6,9,1.143,7.003,0.00916
1,270,2.6,18,1.078,16.442,0.00955
1,270,3,3,1.284,1.203,0.0106
1,270,3,6,1.309,4.329,0.01045
1,270,3,9,1.242,6.651,0.01086
1,270,3,18,1.297,6.477,0.01052
1,300,0.75,3,0.242,2.505,0.00314
1,300,0.75,6,0.294,5.516,0.00282
1,300,0.75,9,0.231,8.315,0.00321
1,300,0.75,18,0.229,17.688,0.00322
1,300,1.5,3,0.582,2.078,0.00567
1,300,1.5,6,0.499,5.12,0.00618
1,300,1.5,9,0.493,1.632,0.00622
1,300,1.5,18,0.487,17.223,0.00626
1,300,2.3,3,0.814,1.683,0.00887
1,300,2.3,6,0.826,4.709,0.0088
1,300,2.3,9,0.815,7.345,0.00886
1,300,2.3,18,0.806,16.849,0.00892
1,300,2.6,3,1.028,1.426,0.00987
1,300,2.6,6,0.9,4.456,0.01065
1,300,2.6,9,0.887,7.003,0.01074
1,300,2.6,18,0.876,16.442,0.01081
1,300,3,3,1.13,1.203,0.01155
1,300,3,6,1.096,4.329,0.01177
1,300,3,9,1.079,6.651,0.01187
1,300,3,18,1.065,16.477,0.01195
1,330,0.75,3,0.237,1.994,0.00362
1,330,0.75,6,0.199,5.016,0.00341
1,330,0.75,9,0.253,8.205,0.00307
1,330,0.75,18,0.406,17.167,0.00213
1,330,1.5,3,0.478,1.771,0.00631
1,330,1.5,6,0.491,4.812,0.00624
1,330,1.5,9,0.418,7.79,0.00669
1,330,1.5,18,0.475,16.953,0.00671
1,330,2.3,3,0.826,1.49,0.0088
1,330,2.3,6,0.667,4.53,0.00978
1,330,2.3,9,0.704,7.582,0.00955
1,330,2.3,18,0.624,16.578,0.01004
1,330,2.6,3,0.925,1.259,0.0105
1,330,2.6,6,0.847,4.287,0.01099
1,330,2.6,9,0.757,7.348,0.01154
1,330,2.6,18,0.794,16.338,0.01131
1,330,3,3,1.159,1.093,0.01137
1,330,3,6,0.909,4.059,0.01292
1,330,3,9,0.932,7.113,0.01278
1,330,3,18,0.843,16.271,0.01333
2,270,0.75,3,0.359,2.64,0.00241
2,270,0.75,6,0.309,5.508,0.00272
2,270,0.75,9,0.353,8.66,0.00246
2,270,0.75,18,0.306,17.883,0.00274
2,270,1.5,3,0.633,2.071,0.00536
2,270,1.5,6,0.664,5.135,0.00516
2,270,1.5,9,0.615,8.232,0.00546
2,270,1.5,18,0.657,17.223,0.00521
2,270,2.3,3,1.032,1.668,0.00752
2,270,2.3,6,0.975,4.709,0.00788
2,270,2.3,9,0.999,7.795,0.00773
2,270,2.3,18,0.933,16.805,0.00813
2,270,2.6,3,1.145,1.531,0.00914
2,270,2.6,6,1.168,4.426,0.009
2,270,2.6,9,1.101,7.453,0.00942
2,270,2.6,18,1.154,16.891,0.00909
2,270,3,3,1.382,1.338,0.00999
2,270,3,6,1.272,4.209,0.01067
2,270,3,9,1.322,7.251,0.01036
2,270,3,18,1.27,16.47,0.01069
2,300,0.75,3,0.299,2.495,0.00278
2,300,0.75,6,0.203,5.298,0.00338
2,300,0.75,9,0.281,7.986,0.0029
2,300,0.75,18,0.212,17.127,0.00332
2,300,1.5,3,0.495,1.903,0.00621
2,300,1.5,6,0.537,4.922,0.00595
2,300,1.5,9,0.464,7.429,0.0064
2,300,1.5,18,0.523,16.978,0.00603
2,300,2.3,3,0.856,1.563,0.00861
2,300,2.3,6,0.727,4.5,0.00941
2,300,2.3,9,0.78,7.147,0.00908
2,300,2.3,18,0.703,16.732,0.00956
2,300,2.6,3,0.926,1.429,0.01049
2,300,2.6,6,0.937,4.284,0.01043
2,300,2.6,9,0.839,7.16,0.01103
2,300,2.6,18,0.892,15.154,0.01071
2,300,3,3,1.176,1.183,0.01127
2,300,3,6,0.971,4.11,0.01254
2,300,3,9,1.031,6.806,0.01217
2,300,3,18,0.948,15.987,0.01267
2,330,0.75,3,0.243,1.994,0.00777
2,330,0.75,6,0.163,5.016,0.00826
2,330,0.75,9,0.22,8.205,0.00791
2,330,0.75,18,0.335,16.868,0.0072
2,330,1.5,3,0.424,4.662,0.00896
2,330,1.5,6,0.415,1.771,0.00902
2,330,1.5,9,0.347,7.64,0.00944
2,330,1.5,18,0.488,16.503,0.00857
2,330,2.3,3,0.743,1.475,0.00931
2,330,2.3,6,0.564,4.53,0.01041
2,330,2.3,9,0.6,7.358,0.01019
2,330,2.3,18,0.517,6.578,0.01071
2,330,2.6,3,0.832,1.259,0.01108
2,330,2.6,6,0.732,4.137,0.0117
2,330,2.6,9,0.637,7.048,0.01228
2,330,2.6,18,0.671,16.188,0.01207
2,330,3,3,1.066,0.943,0.01195
2,330,3,6,0.775,3.759,0.01375
2,330,3,9,0.794,6.813,0.01363
2,330,3,18,0.7,15.82,0.01421
